country,year,carbon_total,carbon_per_person,coal,sulfur,greenhouse
United Kingdom,1974,618000,11,1.27,2780,824000
United States,1974,4600000,21.2,1.47,13700,5760000
Uzbekistan,1974,86900,6.44,0,224,99200
Venezuela,1974,75100,5.86,0.0157,421,136000
Vietnam,1974,19100,0.4,0.0389,30.1,79900
Algeria,1975,32000,1.93,0.00144,18,56000
Argentina,1975,94900,3.67,0.0404,261,233000
Australia,1975,176000,12.8,1.69,537,378000
Austria,1975,54300,7.1,0.477,174,72700
Azerbaijan,1975,42900,7.56,0,70.6,41500
Bangladesh,1975,4860,0.0694,0.00175,93.2,115000
Belarus,1975,94000,10.2,0,356,168000
Belgium,1975,122000,12.5,0.882,430,153000
Brazil,1975,151000,1.4,0.0297,635,1210000
Bulgaria,1975,73000,8.35,0.97,955,101000
Canada,1975,397000,17.2,0.668,2730,530000
Chile,1975,23000,2.17,0.0807,604,41600
China,1975,1140000,1.23,0.248,5030,2260000
Colombia,1975,35800,1.49,0.0916,58.8,134000
Czech Republic,1975,174000,17.3,3.77,1080,203000
Denmark,1975,55800,11,0.405,209,73300
Ecuador,1975,7360,1.05,0,36.1,16900
Egypt,1975,31100,0.806,0.0147,146,64800
Finland,1975,46100,9.76,0.487,268,64000
France,1975,448000,8.5,0.468,1740,635000
Germany,1975,1000000,12.7,1.61,3740,1270000
Greece,1975,38700,4.29,0.717,180,56200
Hungary,1975,75300,7.16,0.754,822,104000
India,1975,251000,0.403,0.0775,1080,827000
Indonesia,1975,54000,0.413,0.00071,103,329000
Iran,1975,139000,4.26,0.0394,528,202000
Ireland,1975,22100,7.03,0.534,95,51800
Israel,1975,19600,5.93,0,120,21200
Italy,1975,341000,6.18,0.178,1640,426000
Japan,1975,869000,7.73,0.5,1290,1070000
Kazakhstan,1975,193000,13.7,0,1060,207000
Kuwait,1975,16800,16.5,0,152,46500
Lithuania,1975,26200,7.94,0,150,112000
Malaysia,1975,19500,1.6,0.00074,49.5,91200
Mexico,1975,164000,2.76,0.0334,545,280000
Netherlands,1975,153000,11.2,0.176,214,202000
New Zealand,1975,18300,5.93,0.458,42.2,54700
Norway,1975,30700,7.65,0.247,72,59000
Pakistan,1975,23200,0.347,0.00774,141,101000
Peru,1975,22000,1.42,0.011,204,54900
Philippines,1975,32500,0.787,0.0012,201,85600
Poland,1975,375000,11,2.46,1780,566000
Portugal,1975,21300,2.32,0.0447,89,33200
Qatar,1975,11000,66.7,0,2.76,18300
Romania,1975,162000,7.48,0.449,415,218000
Russia,1975,1840000,13.7,0,8750,2690000
Saudi Arabia,1975,83300,11.2,0,216,140000
Singapore,1975,24500,10.9,0.00056,45.4,0
Slovak Republic,1975,55600,11.7,1.43,359,57600
South Africa,1975,185000,7.35,1.34,696,294000
South Korea,1975,81900,2.31,0.227,283,121000
Spain,1975,181000,5.05,0.295,1500,231000
Sweden,1975,80800,9.86,0.237,345,104000
Switzerland,1975,39100,6.17,0.036,77.7,49300
Thailand,1975,24400,0.576,0.00326,93.1,118000
Trinidad and Tobago,1975,9620,9.52,0,72.4,0
Turkey,1975,65500,1.67,0.151,235,126000
Turkmenistan,1975,34100,13.5,0,62.2,24600
Ukraine,1975,555000,11.4,0,1850,648000
United Arab Emirates,1975,31100,56.7,0,3.24,57800
United Kingdom,1975,604000,10.8,1.27,2680,809000
United States,1975,4400000,20.1,1.46,12700,5540000
Uzbekistan,1975,91400,6.6,0,231,68100
Venezuela,1975,63800,4.84,0.0188,302,135000
Vietnam,1975,21800,0.447,0.0529,41.7,80400
Algeria,1976,39200,2.29,0.00273,16.7,68700
Argentina,1976,99700,3.8,0.0406,272,247000
Australia,1976,174000,12.5,1.73,578,408000
Austria,1976,58300,7.62,0.507,173,78100
Azerbaijan,1976,44600,7.73,0,70.9,42800
Bangladesh,1976,5560,0.0776,0.00169,98.2,113000
Belarus,1976,97500,10.5,0,357,171000
Belgium,1976,130000,13.3,0.917,403,163000
Brazil,1976,155000,1.41,0.031,674,1380000
Bulgaria,1976,73000,8.32,0.9,897,102000
Canada,1976,399000,17.1,0.78,2590,581000
Chile,1976,24000,2.24,0.0802,707,42300
China,1976,1190000,1.26,0.25,5060,2330000
Colombia,1976,38000,1.54,0.0876,61.6,145000
Czech Republic,1976,181000,17.8,3.82,1100,208000
Denmark,1976,60200,11.8,0.561,181,77800
Ecuador,1976,8110,1.13,0,33.3,18600
Egypt,1976,34500,0.875,0.0141,159,71000
Finland,1976,51200,10.8,0.654,246,69900
France,1976,507000,9.57,0.547,1710,679000
Germany,1976,1090000,13.9,1.7,3760,1340000
Greece,1976,42700,4.68,0.836,204,61500
Hungary,1976,80000,7.56,0.761,822,108000
India,1976,263000,0.412,0.0789,1140,853000
Indonesia,1976,61800,0.462,0.00069,104,483000
Iran,1976,157000,4.64,0.0377,493,226000
Ireland,1976,22300,6.99,0.54,68.3,52200
Israel,1976,19500,5.76,0,77.2,21000
Italy,1976,366000,6.59,0.175,1660,455000
Japan,1976,908000,7.99,0.483,841,1100000
Kazakhstan,1976,200000,14.1,0,1060,230000
Kuwait,1976,18500,17,0,232,45100
Lithuania,1976,27200,8.19,0,150,116000
Malaysia,1976,23900,1.92,0.0008,68.3,91600
Mexico,1976,184000,3,0.0249,578,292000
Netherlands,1976,169000,12.3,0.218,231,214000
New Zealand,1976,19300,6.2,0.468,39.7,57200
Norway,1976,33400,8.3,0.237,81,62900
Pakistan,1976,22800,0.331,0.00744,119,102000
Peru,1976,22400,1.42,0.00831,230,58600
Philippines,1976,35100,0.827,0.00138,208,84900
Poland,1976,398000,11.6,2.55,1850,586000
Portugal,1976,22300,2.4,0.0428,86.7,34600
Qatar,1976,10400,59.8,0,3.25,17000
Romania,1976,175000,7.98,0.451,398,236000
Russia,1976,1910000,14.2,0,8790,2800000
Saudi Arabia,1976,102000,13,0,231,174000
Singapore,1976,30000,13.1,0.00147,46.8,0
Slovak Republic,1976,57800,12,1.4,367,58400
South Africa,1976,193000,7.47,1.37,759,308000
South Korea,1976,93300,2.6,0.249,292,130000
Spain,1976,198000,5.46,0.283,1450,250000
Sweden,1976,88300,10.7,0.227,338,111000
Switzerland,1976,40500,6.39,0.0338,60.3,50900
Thailand,1976,28700,0.663,0.00368,92.1,121000
Trinidad and Tobago,1976,15900,15.5,0,93.9,0
Turkey,1976,73400,1.83,0.154,249,137000
Turkmenistan,1976,35400,13.6,0,62.5,29500
Ukraine,1976,577000,11.8,0,1860,667000
United Arab Emirates,1976,39600,62.2,0,3.6,70400
United Kingdom,1976,599000,10.7,1.29,2560,825000
United States,1976,4610000,20.9,1.55,12900,5870000
Uzbekistan,1976,94900,6.66,0,232,73700
Venezuela,1976,57300,4.22,0.012,297,146000
Vietnam,1976,13900,0.28,0.0488,43.9,79200
Algeria,1977,41900,2.38,0.00345,19.6,74900
Argentina,1977,101000,3.78,0.0316,299,247000
Australia,1977,188000,13.3,1.79,610,415000
Austria,1977,56000,7.34,0.426,167,75700
Azerbaijan,1977,46100,7.86,0,72.6,44500
Bangladesh,1977,5790,0.0788,0.00172,109,115000
Belarus,1977,101000,10.7,0,366,176000
Belgium,1977,126000,12.9,0.928,439,162000
Brazil,1977,162000,1.44,0.0384,761,1170000
Bulgaria,1977,75800,8.62,0.894,906,106000
Canada,1977,408000,17.3,0.985,2450,575000
Chile,1977,23000,2.11,0.085,733,40600
China,1977,1310000,1.36,0.271,5770,2520000
Colombia,1977,39300,1.56,0.0878,66.3,135000
Czech Republic,1977,186000,18.2,3.87,1140,220000
Denmark,1977,61900,12.1,0.643,198,81400
Ecuador,1977,7480,1.01,0,29.2,19800
Egypt,1977,37800,0.938,0.0157,203,72600
Finland,1977,50200,10.6,0.658,289,69700
France,1977,482000,9.06,0.525,1550,667000
Germany,1977,1050000,13.4,1.64,3680,1320000
Greece,1977,46700,5.05,0.877,198,63800
Hungary,1977,83100,7.82,0.769,834,113000
India,1977,278000,0.426,0.0807,1150,872000
Indonesia,1977,82500,0.601,0.00073,122,834000
Iran,1977,164000,4.71,0.037,597,233000
Ireland,1977,23600,7.27,0.557,92.8,54500
Israel,1977,19800,5.7,0,83.1,21900
Italy,1977,355000,6.36,0.172,1650,447000
Japan,1977,934000,8.13,0.451,843,1130000
Kazakhstan,1977,207000,14.4,0,1090,222000
Kuwait,1977,17200,14.9,0,203,43000
Lithuania,1977,28200,8.4,0,154,120000
Malaysia,1977,22600,1.77,0.00086,86,121000
Mexico,1977,193000,3.06,0.0348,665,305000
Netherlands,1977,164000,11.8,0.227,239,213000
New Zealand,1977,20300,6.51,0.444,38.9,58500
Norway,1977,33400,8.26,0.203,81.3,64400
Pakistan,1977,24300,0.343,0.00785,135,107000
Peru,1977,23300,1.43,0.00927,313,53800
Philippines,1977,36700,0.841,0.00332,246,89700
Poland,1977,418000,12.1,2.62,1930,603000
Portugal,1977,22600,2.4,0.0383,96.3,35200
Qatar,1977,9920,54.4,0,5.11,15700
Romania,1977,178000,8.07,0.452,412,246000
Russia,1977,1970000,14.6,0,9010,2850000
Saudi Arabia,1977,118000,14.4,0,281,185000
Singapore,1977,28300,12.2,0.00188,61.5,0
Slovak Republic,1977,59500,12.3,1.42,380,60700
South Africa,1977,200000,7.55,1.38,849,310000
South Korea,1977,106000,2.9,0.268,338,145000
Spain,1977,195000,5.32,0.3,1420,243000
Sweden,1977,85800,10.4,0.179,302,107000
Switzerland,1977,41100,6.5,0.0396,62.9,52300
Thailand,1977,32100,0.723,0.00346,106,133000
Trinidad and Tobago,1977,16200,15.6,0,82.8,0
Turkey,1977,81200,1.97,0.155,262,147000
Turkmenistan,1977,36600,13.7,0,64,31200
Ukraine,1977,596000,12.1,0,1900,678000
United Arab Emirates,1977,38800,52.7,0,8.38,69600
United Kingdom,1977,605000,10.8,1.3,2540,834000
United States,1977,4740000,21.2,1.57,13000,6050000
Uzbekistan,1977,98100,6.7,0,237,76400
Venezuela,1977,63700,4.56,0.0181,327,140000
Vietnam,1977,15300,0.3,0.0524,47.9,83300
Algeria,1978,62500,3.45,0.0017,31.3,82000
Argentina,1978,103000,3.79,0.0445,240,248000
Australia,1978,202000,14.2,1.81,592,378000
Austria,1978,57300,7.51,0.433,170,77900
Azerbaijan,1978,47700,8,0,73.3,46300
Bangladesh,1978,5990,0.0794,0.00162,111,118000
Belarus,1978,104000,11,0,370,179000
Belgium,1978,136000,13.8,0.949,382,167000
Brazil,1978,176000,1.53,0.0431,807,1340000
Bulgaria,1978,81300,9.2,0.95,900,112000
Canada,1978,416000,17.4,0.801,2140,550000
Chile,1978,22900,2.06,0.0816,703,41700
China,1978,1460000,1.5,0.293,6450,2730000
Colombia,1978,41600,1.62,0.0867,64.5,146000
Czech Republic,1978,188000,18.3,3.87,1150,217000
Denmark,1978,61100,12,0.707,185,81500
Ecuador,1978,10400,1.37,0,46.2,21000
Egypt,1978,39300,0.952,0.0147,202,73800
Finland,1978,51900,10.9,0.886,261,75200
France,1978,507000,9.49,0.546,1610,688000
Germany,1978,1080000,13.7,1.66,3520,1360000
Greece,1978,47700,5.08,0.768,192,66900
Hungary,1978,88100,8.24,0.764,831,122000
India,1978,282000,0.422,0.0763,1160,875000
Indonesia,1978,94000,0.669,0.00095,121,502000
Iran,1978,162000,4.51,0.0219,589,225000
Ireland,1978,23600,7.16,0.518,91.8,54700
Israel,1978,21000,5.93,0,84,23200
Italy,1978,372000,6.64,0.174,1640,458000
Japan,1978,902000,7.79,0.405,708,1130000
Kazakhstan,1978,213000,14.7,0,1100,227000
Kuwait,1978,21000,17.1,0,247,47500
Lithuania,1978,29200,8.64,0,155,124000
Malaysia,1978,23300,1.77,0.00183,87.1,139000
Mexico,1978,222000,3.45,0.0354,699,333000
Netherlands,1978,170000,12.2,0.258,218,218000
New Zealand,1978,18000,5.77,0.408,34,57600
Norway,1978,32700,8.07,0.209,74.7,64200
Pakistan,1978,26100,0.356,0.0081,143,112000
Peru,1978,22400,1.34,0.0077,318,56700
