,country,year,value
297,Myanmar,1971,424000.0
298,Namibia,1971,6120.0
299,Nepal,1971,20300.0
300,Netherlands,1971,187000.0
301,New Zealand,1971,48300.0
302,Nicaragua,1971,8080.0
303,Niger,1971,8160.0
304,Nigeria,1971,90500.0
305,North Korea,1971,93400.0
306,North Macedonia,1971,11400.0
307,Norway,1971,55500.0
308,Oman,1971,12000.0
309,Pakistan,1971,88300.0
310,Panama,1971,5880.0
311,Papua New Guinea,1971,5590.0
312,Paraguay,1971,37900.0
313,Peru,1971,49500.0
314,Philippines,1971,78600.0
315,Poland,1971,468000.0
316,Portugal,1971,28800.0
317,Qatar,1971,15600.0
318,Romania,1971,179000.0
319,Russia,1971,2240000.0
320,Rwanda,1971,2010.0
321,Samoa,1971,117.0
322,Sao Tome and Principe,1971,39.6
323,Saudi Arabia,1971,94000.0
324,Senegal,1971,8270.0
325,Seychelles,1971,140.0
326,Sierra Leone,1971,7350.0
327,Singapore,1971,0.0
328,Slovak Republic,1971,52000.0
329,Slovenia,1971,11300.0
330,Solomon Islands,1971,3560.0
331,Somalia,1971,13100.0
332,South Africa,1971,250000.0
333,South Korea,1971,89200.0
334,Spain,1971,184000.0
335,Sri Lanka,1971,16300.0
336,St. Kitts and Nevis,1971,63.5
337,St. Lucia,1971,140.0
338,St. Vincent and the Grenadines,1971,67.7
339,Sudan,1971,58800.0
340,Suriname,1971,7810.0
341,Sweden,1971,107000.0
342,Switzerland,1971,51300.0
343,Syria,1971,11200.0
344,Tajikistan,1971,7990.0
345,Tanzania,1971,60600.0
346,Thailand,1971,105000.0
347,Timor-Leste,1971,604.0
348,Togo,1971,9340.0
349,Tonga,1971,55.6
350,Trinidad and Tobago,1971,8110.0
351,Tunisia,1971,8770.0
352,Turkey,1971,99400.0
353,Turkmenistan,1971,30300.0
354,Tuvalu,1971,2.27
355,Uganda,1971,15500.0
356,Ukraine,1971,565000.0
357,United Arab Emirates,1971,41400.0
358,United Kingdom,1971,837000.0
359,United States,1971,5440000.0
360,Uruguay,1971,25200.0
361,Uzbekistan,1971,84400.0
362,Vanuatu,1971,248.0
363,Venezuela,1971,124000.0
364,Vietnam,1971,77400.0
365,Yemen,1971,5100.0
366,Zambia,1971,133000.0
367,Zimbabwe,1971,21400.0
368,Afghanistan,1972,13000.0
369,Albania,1972,7610.0
370,Algeria,1972,53700.0
371,Angola,1972,42200.0
372,Antigua and Barbuda,1972,0.0
373,Argentina,1972,224000.0
374,Armenia,1972,6750.0
375,Australia,1972,355000.0
376,Austria,1972,73500.0
377,Azerbaijan,1972,28200.0
378,Bahamas,1972,0.0
379,Bahrain,1972,5900.0
380,Bangladesh,1972,110000.0
381,Barbados,1972,758.0
382,Belarus,1972,144000.0
383,Belgium,1972,166000.0
384,Belize,1972,365.0
385,Benin,1972,34300.0
386,Bhutan,1972,891.0
387,Bolivia,1972,150000.0
388,Bosnia and Herzegovina,1972,21800.0
389,Botswana,1972,7520.0
390,Brazil,1972,1140000.0
391,Brunei,1972,10200.0
392,Bulgaria,1972,91400.0
393,Burkina Faso,1972,7050.0
394,Burundi,1972,2280.0
395,Cambodia,1972,16500.0
396,Cameroon,1972,63500.0
397,Canada,1972,497000.0
398,Cape Verde,1972,202.0
399,Central African Republic,1972,100000.0
400,Chad,1972,14500.0
401,Chile,1972,45400.0
402,China,1972,2000000.0
403,Colombia,1972,124000.0
404,Comoros,1972,209.0
405,"Congo, Dem. Rep.",1972,959000.0
406,"Congo, Rep.",1972,44800.0
407,Costa Rica,1972,5580.0
408,Cote d'Ivoire,1972,113000.0
409,Croatia,1972,27000.0
410,Cuba,1972,41200.0
411,Cyprus,1972,3310.0
412,Czech Republic,1972,213000.0
413,Denmark,1972,76800.0
414,Djibouti,1972,1100.0
415,Dominica,1972,58.5
416,Dominican Republic,1972,10800.0
417,Ecuador,1972,13200.0
418,Egypt,1972,59100.0
419,El Salvador,1972,5290.0
420,Equatorial Guinea,1972,124.0
421,Eritrea,1972,2870.0
422,Estonia,1972,67000.0
423,Eswatini,1972,1670.0
424,Ethiopia,1972,53600.0
425,Fiji,1972,1170.0
426,Finland,1972,62900.0
427,France,1972,650000.0
428,Gabon,1972,5010.0
429,Gambia,1972,816.0
430,Georgia,1972,52200.0
431,Germany,1972,1300000.0
432,Ghana,1972,21300.0
433,Greece,1972,50600.0
434,Grenada,1972,68.4
435,Guatemala,1972,9700.0
436,Guinea,1972,47600.0
437,Guinea-Bissau,1972,922.0
438,Guyana,1972,12400.0
439,Haiti,1972,4740.0
440,Honduras,1972,7600.0
441,Hungary,1972,92200.0
442,Iceland,1972,5310.0
443,India,1972,767000.0
444,Indonesia,1972,733000.0
445,Iran,1972,167000.0
446,Iraq,1972,56700.0
447,Ireland,1972,50100.0
448,Israel,1972,18300.0
449,Italy,1972,417000.0
450,Jamaica,1972,7830.0
451,Japan,1972,1010000.0
452,Jordan,1972,2460.0
453,Kazakhstan,1972,219000.0
454,Kenya,1972,23200.0
455,Kiribati,1972,0.0
456,Kuwait,1972,73500.0
457,Kyrgyz Republic,1972,17200.0
458,Lao,1972,18800.0
459,Latvia,1972,48000.0
460,Lebanon,1972,7000.0
461,Lesotho,1972,1620.0
462,Liberia,1972,1790.0
463,Libya,1972,44200.0
464,Lithuania,1972,108000.0
465,Luxembourg,1972,17900.0
466,Madagascar,1972,33400.0
467,Malawi,1972,4560.0
468,Malaysia,1972,99600.0
469,Maldives,1972,22.2
470,Mali,1972,23600.0
471,Malta,1972,1010.0
472,Marshall Islands,1972,2.6
473,Mauritania,1972,4460.0
474,Mauritius,1972,767.0
475,Mexico,1972,229000.0
476,"Micronesia, Fed. Sts.",1972,28.0
477,Moldova,1972,27900.0
478,Mongolia,1972,14900.0
479,Morocco,1972,20500.0
480,Mozambique,1972,27900.0
481,Myanmar,1972,533000.0
482,Namibia,1972,6340.0
483,Nepal,1972,20100.0
484,Netherlands,1972,205000.0
485,New Zealand,1972,52600.0
486,Nicaragua,1972,8170.0
487,Niger,1972,8330.0
488,Nigeria,1972,105000.0
489,North Korea,1972,97400.0
490,North Macedonia,1972,11600.0
491,Norway,1972,59200.0
492,Oman,1972,12700.0
493,Pakistan,1972,89400.0
494,Panama,1972,6180.0
495,Papua New Guinea,1972,17800.0
496,Paraguay,1972,45600.0
497,Peru,1972,51700.0
498,Philippines,1972,79500.0
499,Poland,1972,491000.0
500,Portugal,1972,29600.0
501,Qatar,1972,18400.0
502,Romania,1972,185000.0
503,Russia,1972,2410000.0
504,Rwanda,1972,2040.0
505,Samoa,1972,117.0
506,Sao Tome and Principe,1972,40.4
507,Saudi Arabia,1972,121000.0
508,Senegal,1972,8040.0
509,Seychelles,1972,146.0
510,Sierra Leone,1972,7290.0
511,Singapore,1972,0.0
512,Slovak Republic,1972,53300.0
513,Slovenia,1972,11300.0
514,Solomon Islands,1972,3820.0
515,Somalia,1972,13500.0
516,South Africa,1972,251000.0
517,South Korea,1972,91300.0
518,Spain,1972,198000.0
519,Sri Lanka,1972,16400.0
520,St. Kitts and Nevis,1972,75.9
521,St. Lucia,1972,166.0
522,St. Vincent and the Grenadines,1972,77.1
523,Sudan,1972,59400.0
524,Suriname,1972,8950.0
525,Sweden,1972,107000.0
526,Switzerland,1972,52000.0
527,Syria,1972,11200.0
528,Tajikistan,1972,8360.0
529,Tanzania,1972,64700.0
530,Thailand,1972,107000.0
531,Timor-Leste,1972,651.0
532,Togo,1972,9320.0
533,Tonga,1972,56.4
